Fly old,Fly young
GO:0006884,GO:0050766
GO:0061541,GO:0070129
GO:0019674,GO:0062125
GO:0006517,GO:0009642
GO:0006721,GO:0046031
GO:0046154,GO:0009185
GO:0007603,GO:0009179
GO:0016063,GO:0009135
GO:0009642,GO:0050764
GO:0016056,GO:0006757
GO:0016059,GO:0006096
GO:0006491,GO:0043901
GO:0009584,GO:0022400
GO:0022400,GO:0061060
GO:0006641,GO:0046939
GO:1902476,GO:0016059
GO:0009648,GO:0006165
GO:0043052,GO:0009132
GO:0009649,GO:1900425
GO:0050953,GO:0016339
GO:0006639,GO:0008277
GO:0006638,GO:0050953
GO:0042052,GO:0036294
GO:0007602,GO:0071453
GO:0043324,GO:0070585
GO:0042441,GO:0072655
GO:0043474,GO:0006120
GO:0006821,GO:0071482
GO:0009583,GO:0042273
GO:0006726,GO:0090150
GO:0048069,GO:0032543
GO:0010324,GO:0007602
GO:0099024,GO:0006839
GO:0048066,GO:0022900
GO:0015698,GO:0046034
GO:0045187,GO:0022904
GO:0071482,GO:0140053
GO:0043473,GO:0006364
GO:0009582,GO:0009583
GO:0009581,GO:0042775
GO:0042051,GO:0016072
GO:0071478,GO:0042773
GO:0032543,GO:0002832
GO:0046148,GO:0045333
GO:0140053,GO:0031348
GO:0007156,GO:0045475
GO:0042462,GO:0006091
GO:0104004,GO:0006119
GO:0071214,GO:0006790
GO:0048871,GO:0032102
GO:0042752,GO:0015980
GO:0009416,GO:0042254
GO:0098656,GO:0009259
GO:0016072,GO:0009150
GO:0042461,GO:0019693
GO:0009314,GO:0007622
GO:0043604,GO:0006163
GO:0043436,GO:0043604
GO:0006412,GO:0009117
GO:0043043,GO:0006753
GO:0060249,GO:0006412
GO:0006082,GO:0043043
GO:1901135,GO:0043603
GO:0042592,GO:0006518
GO:0048749,GO:0019637
GO:0044281,GO:1901566
GO:0001654,GO:0044271
GO:0150063,GO:0006796
GO:0048880,GO:0006793
GO:1901566,GO:0009059
GO:0032879,GO:0044249
GO:0009058,GO:0010467
GO:1901576,GO:0009058
GO:0009605,GO:1901576
GO:0044249,GO:0044237
GO:0010467,GO:0008152
GO:0065008,GO:0009987
GO:0008152,GO:0019222
GO:0009987,GO:0022414
GO:0007389,GO:0000003
GO:0051276,GO:0048609
GO:0007606,GO:0032504
GO:0000819,GO:0022412
GO:0000070,GO:0007276
GO:0009593,GO:0003006
GO:0010001,GO:0031324
GO:0021782,GO:0048477
,GO:0007292
,GO:0007049
,GO:0006357
,GO:0022402
,GO:0031327
,GO:0009890
,GO:0010558
,GO:2000113
,GO:0051276
,GO:0051253
,GO:1902679
,GO:0045892
,GO:1903507
,GO:0045934
,GO:0035282
,GO:0007417
,GO:1903046
,GO:0007606
,GO:0051321
,GO:0006259
,GO:0009952
,GO:0045165
,GO:0007169
,GO:0055123
,GO:0048565
,GO:0001709
,GO:0007167
,GO:0050907
,GO:0042063
,GO:0072001
,GO:0001655
,GO:0009593
,GO:0048546
,GO:0006582
,GO:0070192
,GO:0007442
,GO:0061525
,GO:0050909
,GO:0014016
,GO:0061333
,GO:0007443
,GO:0048619
,GO:0010001
,GO:0021782
,GO:0007448
